local_experiment_id,underlying,target_delta,target_dte,allocation,slippage_bps,execution_proxy,evidence_label,start,end,days,terminal_value,total_return,cagr,ann_vol,sharpe_0rf,max_drawdown,entries,rolls,resized_entries,rejected_entries,no_candidate_days
LEOD047,QQQ,0.8,730,0.25,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,5062497.13887734,4.062497138877339,0.12329662325639013,0.17673021117569246,0.7476642030107569,-0.2706683253842448,28,27,15,0,0
LEOD048,QQQ,0.8,730,0.25,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,5030083.163129662,4.030083163129662,0.12277949046129044,0.17682346606900415,0.7447509380430524,-0.2700946200038905,28,27,17,0,0
LEOD049,QQQ,0.8,730,0.5,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,17025171.911263395,16.025171911263396,0.22533376471270272,0.3657578052925049,0.738273915409409,-0.4888029847773637,28,27,15,0,0
LEOD050,QQQ,0.8,730,0.5,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,16786747.19032508,15.78674719032508,0.22409553971120744,0.36576986924408866,0.7354969073385277,-0.4893898551339566,28,27,15,0,0
LEOD051,QQQ,0.8,730,0.5,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,16548556.155127652,15.548556155127653,0.22284211776494178,0.36580297480719226,0.7326543321360381,-0.48964935269110377,28,27,16,0,0
LEOD052,QQQ,0.8,730,1.0,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,106070781.79999998,105.07078179999998,0.3970461937409584,0.8799110519937439,0.7821869231830466,-0.7815093375357247,28,27,16,0,0
LEOD053,QQQ,0.8,730,1.0,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,103264614.86250006,102.26461486250005,0.39436352938393027,0.8801253049459119,0.7800175765272103,-0.7819592688572153,28,27,17,0,0
LEOD054,QQQ,0.8,730,1.0,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,100686267.48500006,99.68626748500006,0.3918383195510109,0.8804620699875416,0.7779767434198106,-0.7824058760730469,28,27,17,0,0
LEOD055,QQQ,0.9,365,0.25,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,6271579.841801134,5.271579841801134,0.14067599691936095,0.1617302978058292,0.8965570144146943,-0.241462303759428,28,27,15,0,0
LEOD056,QQQ,0.9,365,0.25,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,6208942.479075058,5.208942479075058,0.13985548208362952,0.16167651124088103,0.8923385073758624,-0.2427523634317157,28,27,17,0,0
