regime,strategy,horizon_years,paths,median_cagr,p10_cagr,p01_cagr,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90,median_max_dd,p10_max_dd,prob_terminal_below_start,prob_terminal_below_0p1
crisis_heavy_empirical,MKT_1x,40,2500,-0.029686637674619265,-0.07812612911065395,-0.1174351636260434,0.0,0.9992,0.9572,0.5584,-0.9139073770425346,-0.9827830258149789,0.772,0.2416
crisis_heavy_empirical,LETF_1p5_BH,10,2500,-0.08375744419586528,-0.21471616492212955,-0.32116496493938124,0.096,0.9868,0.8096,0.3024,-0.8366441266385034,-0.9523234854305526,0.7496,0.1176
crisis_heavy_empirical,LETF_1p5_BH,20,2500,-0.08338346385741419,-0.17908185222255463,-0.25474773118652677,0.0276,0.9996,0.974,0.7012,-0.9447238190839463,-0.9908586140510807,0.8348,0.3792
crisis_heavy_empirical,LETF_1p5_BH,40,2500,-0.0846065946025279,-0.15286695412490117,-0.20791698350131857,0.0016,1.0,0.9992,0.9536,-0.9925761929627854,-0.9994960347138594,0.9148,0.692
crisis_heavy_empirical,LETF_2x_BH,10,2500,-0.13869274948164578,-0.30202644557029185,-0.43333313707853577,0.088,0.9996,0.9544,0.618,-0.9288744817253864,-0.9873589240205012,0.8012,0.326
crisis_heavy_empirical,LETF_2x_BH,20,2500,-0.1398777772853329,-0.2591069474053933,-0.34897398569286564,0.0228,1.0,0.998,0.9156,-0.9875333749644291,-0.9989877702626523,0.8912,0.6184
crisis_heavy_empirical,LETF_2x_BH,40,2500,-0.14127282805832725,-0.22665173392027366,-0.2960102653191661,0.0016,1.0,1.0,0.9948,-0.9995284391620788,-0.9999891065839919,0.9636,0.864
crisis_heavy_empirical,LETF_3x_BH,10,2500,-0.27318026844715293,-0.4753892575448612,-0.6164012971473811,0.056,1.0,0.9992,0.9284,-0.9905478223944393,-0.9994409908428071,0.8884,0.64
crisis_heavy_empirical,LETF_3x_BH,20,2500,-0.2760405134427341,-0.4258081610523262,-0.5292779552397774,0.0088,1.0,1.0,0.9956,-0.9997115424808771,-0.9999948575769844,0.9592,0.8688
crisis_heavy_empirical,LETF_3x_BH,40,2500,-0.2783222317874047,-0.38565681380710765,-0.469123702720156,0.0,1.0,1.0,1.0,-0.9999996369084121,-0.9999999991529889,0.9952,0.976
crisis_heavy_empirical,LETF_S9_35_12,10,2500,-0.04778081485137842,-0.1419367856437207,-0.19681008425767912,0.394,0.9648,0.5636,0.0196,-0.7230216697093892,-0.856452555884755,0.692,0.004
crisis_heavy_empirical,LETF_S9_35_12,20,2500,-0.0460237517999148,-0.11493070156346577,-0.15881131715185082,0.362,0.9992,0.8948,0.3332,-0.8608737197998452,-0.9499694845728632,0.7612,0.1248
crisis_heavy_empirical,LETF_S9_35_12,40,2500,-0.046265586761494226,-0.09493806567062676,-0.12820194561675943,0.2992,1.0,0.9924,0.7616,-0.9545910023188555,-0.9911091985354882,0.83,0.3996
crisis_heavy_empirical,LETF_S9_35_0,10,2500,-0.017034297503103757,-0.10547171867405854,-0.15584320756436396,0.5684,0.8228,0.2852,0.002,-0.6228547252989638,-0.7841569808204112,0.5752,0.0008
crisis_heavy_empirical,LETF_S9_35_0,20,2500,-0.01483559491282932,-0.07890736400725509,-0.12287621407320178,0.6116,0.9868,0.6788,0.0824,-0.7579781968215595,-0.893652625176655,0.6064,0.0264
crisis_heavy_empirical,LETF_S9_35_0,40,2500,-0.014194872847483664,-0.06112019461288615,-0.09770907183243457,0.6548,1.0,0.9392,0.408,-0.8792457966476992,-0.965664567610834,0.6384,0.1364
crisis_heavy_empirical,FUT_VOL25,10,2500,-0.06485511180603559,-0.17865669808347506,-0.2602964652864886,0.1848,0.9628,0.676,0.136,-0.7711854243960523,-0.9166661983069871,0.7556,0.0524
crisis_heavy_empirical,FUT_VOL25,20,2500,-0.06694234349122441,-0.14928760962882634,-0.20844358938144403,0.1192,0.998,0.93,0.5184,-0.90462301204242,-0.9780532139954476,0.8224,0.2548
crisis_heavy_empirical,FUT_VOL25,40,2500,-0.06579709107253279,-0.12369883035843157,-0.16931977104958615,0.0528,1.0,0.9964,0.8724,-0.9797493574940666,-0.9977332735095644,0.908,0.5932
crisis_heavy_empirical,FUT_35_12,10,2500,-0.04162053040618002,-0.137158948134792,-0.19257334616745675,0.4396,0.9576,0.5372,0.0156,-0.7134979899878632,-0.8501782664450374,0.6608,0.0032
crisis_heavy_empirical,FUT_35_12,20,2500,-0.03928534614059165,-0.10914455899401976,-0.15408190900963323,0.4232,0.9992,0.8752,0.2936,-0.8489224593988066,-0.9445590520608382,0.7284,0.1016
crisis_heavy_empirical,FUT_35_12,40,2500,-0.03974072523151945,-0.08913002505560984,-0.12253741428088019,0.4024,1.0,0.9912,0.7116,-0.9461085023904507,-0.9889463390298858,0.7964,0.3392
crisis_heavy_empirical,FUT_35_0,10,2500,-0.012637931040240913,-0.10304598729101891,-0.15400032243070466,0.5904,0.812,0.2716,0.0012,-0.6170825725596267,-0.7785609507935926,0.5604,0.0004
crisis_heavy_empirical,FUT_35_0,20,2500,-0.010388482881481809,-0.07556029815483369,-0.1204178448284464,0.6432,0.9836,0.6508,0.0768,-0.7491982152523999,-0.8891014598486827,0.5724,0.0232
crisis_heavy_empirical,FUT_35_0,40,2500,-0.009815653136080404,-0.057567866054889213,-0.09513497111855361,0.7016,1.0,0.9304,0.38,-0.8698468324254899,-0.9622731500741397,0.5964,0.11
crisis_heavy_empirical,FUT_40_0,10,2500,-0.01993158029295755,-0.1170454592713909,-0.17224349441060147,0.5684,0.892,0.3776,0.0076,-0.6596901462655788,-0.815754591287306,0.5808,0.0016
crisis_heavy_empirical,FUT_40_0,20,2500,-0.017525022778622334,-0.08835461684884269,-0.13510940968702562,0.5992,0.9976,0.7612,0.1488,-0.7910344401636769,-0.9169984390073392,0.6088,0.0432
crisis_heavy_empirical,FUT_40_0,40,2500,-0.016537108133456435,-0.06787481705699917,-0.10769899897651736,0.6288,1.0,0.966,0.5208,-0.9044464460914826,-0.9766701373223697,0.6392,0.1756
crisis_heavy_empirical,FUT_2x_200DMA,10,2500,-0.009031637376825774,-0.10876674460191223,-0.1754453262808785,0.6356,0.8592,0.3584,0.0088,-0.6515755249722683,-0.810406079579758,0.5316,0.002
crisis_heavy_empirical,FUT_2x_200DMA,20,2500,-0.0053204354653523245,-0.08037713530344456,-0.13403176408732428,0.6844,0.9888,0.7392,0.1396,-0.7774669970656869,-0.9144749761478748,0.5336,0.032
crisis_heavy_empirical,FUT_2x_200DMA,40,2500,-0.004125039109690254,-0.06069381867764062,-0.09899377449940626,0.7524,0.9996,0.958,0.454,-0.8890509016821914,-0.9729001932270285,0.5424,0.1232
productivity_bull_empirical,MKT_1x,10,2500,0.17168233425241264,0.10398195297758712,0.04654565222332218,0.0,0.012,0.0004,0.0,-0.2915722663759568,-0.38799709274430577,0.0004,0.0
productivity_bull_empirical,MKT_1x,20,2500,0.17167144202467666,0.122753447015159,0.08287882178242563,0.0,0.0248,0.0004,0.0,-0.3421628093489293,-0.42596108516538794,0.0,0.0
productivity_bull_empirical,MKT_1x,40,2500,0.17050350662346558,0.13663765306546577,0.10760261319492541,0.0,0.0536,0.0008,0.0,-0.3646119943059523,-0.4715484812998006,0.0,0.0
productivity_bull_empirical,LETF_1p5_BH,10,2500,0.21914964253417235,0.11253280831441186,0.025389354968661324,0.9428,0.2088,0.01,0.0,-0.4212610887824352,-0.5584000376270716,0.0036,0.0
productivity_bull_empirical,LETF_1p5_BH,20,2500,0.22009213274200767,0.14256225298861008,0.07990085905213319,0.9848,0.382,0.0196,0.0,-0.4808381319650723,-0.6061238755691246,0.0,0.0
productivity_bull_empirical,LETF_1p5_BH,40,2500,0.2179866246736587,0.1635268336245207,0.11901656028997526,0.9996,0.6412,0.0464,0.0,-0.5262021392209371,-0.6584943217082453,0.0,0.0
productivity_bull_empirical,LETF_2x_BH,10,2500,0.2733059546427824,0.12317387463315939,0.0059716487926119825,0.944,0.5532,0.0872,0.0004,-0.5373023505689809,-0.6901507937717348,0.0072,0.0
productivity_bull_empirical,LETF_2x_BH,20,2500,0.2741673800837173,0.16452045188958547,0.07606947472163673,0.9852,0.806,0.1748,0.0016,-0.6001823877434533,-0.7415301516193508,0.0,0.0
productivity_bull_empirical,LETF_2x_BH,40,2500,0.27063183987416617,0.19307513562446524,0.13176547707883526,0.9996,0.9564,0.332,0.0044,-0.6543445304543927,-0.7882071825106932,0.0,0.0
productivity_bull_empirical,LETF_3x_BH,10,2500,0.3605391301101649,0.11173129483912321,-0.06080662769344988,0.912,0.8236,0.5284,0.0532,-0.7236149061509822,-0.8619400848600595,0.0276,0.0004
productivity_bull_empirical,LETF_3x_BH,20,2500,0.35955310374003446,0.18008016043439798,0.039396997620645254,0.966,0.9748,0.7824,0.1148,-0.7848008546167454,-0.9058165806069762,0.0044,0.0
productivity_bull_empirical,LETF_3x_BH,40,2500,0.3542199058156169,0.22557544037779434,0.1269398615246827,0.9952,0.9988,0.946,0.2352,-0.837787233651252,-0.9353571066332416,0.0,0.0
