strategy,crisis,start,end,cagr,max_drawdown,max_underwater_years,terminal,vol
FUT_VOL25,COVID_2020,2020-02-01,2020-08-31,0.34029583963561794,-0.2688867410668433,0.5119047619047619,1.1863160074353054,0.28841585302147876
FUT_VOL25,Inflation_2022_2024,2022-01-01,2024-07-31,0.11125676673766338,-0.3036823537516564,1.9523809523809523,1.3110724802132998,0.2626950997079935
FUT_35_12,Great_Depression_1929_1939,1929-08-01,1939-12-31,0.013819010189553005,-0.7237903351233709,7.583333333333333,1.184308020693274,0.2755975362531643
FUT_35_12,Stagflation_1966_1982,1966-01-01,1982-12-31,0.11121470302020375,-0.5374607932855867,3.0674603174603177,5.9556735541886345,0.2526060796060569
FUT_35_12,Crash_1987,1987-08-01,1989-07-31,0.2512503057553028,-0.37325656465885215,1.6587301587301588,1.5670205061535463,0.28673374477882185
FUT_35_12,Dotcom_2000_2007,2000-03-01,2007-06-30,0.010819759721419464,-0.6300589649428595,7.150793650793651,1.081885340493294,0.26134822456596407
FUT_35_12,GFC_2007_2013,2007-10-01,2013-03-31,0.11234551965227113,-0.41880209080607744,2.4761904761904763,1.7937748541567566,0.28726397540676496
FUT_35_12,COVID_2020,2020-02-01,2020-08-31,0.29772760971084855,-0.31241959950517795,0.5277777777777778,1.1641896509526224,0.3186695435295217
FUT_35_12,Inflation_2022_2024,2022-01-01,2024-07-31,0.11675986171810826,-0.3248758579736861,2.0476190476190474,1.3278067550720465,0.27665443393178735
FUT_35_0,Great_Depression_1929_1939,1929-08-01,1939-12-31,0.05843919957182919,-0.5760696505553671,7.2976190476190474,2.013803998811895,0.25683196599071456
FUT_35_0,Stagflation_1966_1982,1966-01-01,1982-12-31,0.1621099942602655,-0.4270572594202402,2.261904761904762,12.706462612918859,0.23929110852729185
FUT_35_0,Crash_1987,1987-08-01,1989-07-31,0.2596118011306594,-0.3511876475680825,1.6507936507936507,1.5880757219290376,0.27213833620208877
FUT_35_0,Dotcom_2000_2007,2000-03-01,2007-06-30,0.01680807989691213,-0.5301648876163652,7.079365079365079,1.1296457838110558,0.24841977030866202
FUT_35_0,GFC_2007_2013,2007-10-01,2013-03-31,0.11359722289406426,-0.3324210329354692,2.2023809523809526,1.8048806059554112,0.2756763106348519
FUT_35_0,COVID_2020,2020-02-01,2020-08-31,0.23221795271618118,-0.30509221234606043,0.5357142857142857,1.1295385571615737,0.306264546584744
FUT_35_0,Inflation_2022_2024,2022-01-01,2024-07-31,0.10448228499584156,-0.3245728054780037,2.0714285714285716,1.2906497143149285,0.26480727439943974
FUT_40_0,Great_Depression_1929_1939,1929-08-01,1939-12-31,0.05628779172099274,-0.6199009299864987,7.301587301587301,1.963929060085574,0.283254121946069
FUT_40_0,Stagflation_1966_1982,1966-01-01,1982-12-31,0.16983673558086587,-0.4423859269902328,2.1746031746031744,14.214204858545394,0.24908503613216007
FUT_40_0,Crash_1987,1987-08-01,1989-07-31,0.23573124691581926,-0.37751715631888694,1.7182539682539681,1.5283148564105555,0.2838740166296576
FUT_40_0,Dotcom_2000_2007,2000-03-01,2007-06-30,0.010418013815750804,-0.5723689022977216,7.158730158730159,1.078744550289044,0.26272388919440276
FUT_40_0,GFC_2007_2013,2007-10-01,2013-03-31,0.11263169907352077,-0.3635459313271314,2.2023809523809526,1.7963090431469915,0.2996671986478904
FUT_40_0,COVID_2020,2020-02-01,2020-08-31,0.19998493674414464,-0.34169972213604427,0.5357142857142857,1.112207655554547,0.3443442493555904
FUT_40_0,Inflation_2022_2024,2022-01-01,2024-07-31,0.10483750581093276,-0.36529645132728483,2.0873015873015874,1.2917157242275763,0.28158952372392604
FUT_2x_200DMA,Great_Depression_1929_1939,1929-08-01,1939-12-31,0.08161718605187884,-0.5955710046550324,3.5396825396825395,2.6300886405648134,0.34799684571753936
FUT_2x_200DMA,Stagflation_1966_1982,1966-01-01,1982-12-31,0.15528256290074105,-0.3251187525499828,2.0912698412698414,11.500704845342945,0.17821698914619435
FUT_2x_200DMA,Crash_1987,1987-08-01,1989-07-31,0.1523573518484953,-0.2959345920987997,1.7182539682539681,1.3286749505315079,0.20158291751451404
FUT_2x_200DMA,Dotcom_2000_2007,2000-03-01,2007-06-30,0.0029677681241995213,-0.5665087736510127,7.242063492063492,1.0219091616168936,0.2082244103958161
FUT_2x_200DMA,GFC_2007_2013,2007-10-01,2013-03-31,0.07486265620221322,-0.40180731748454257,2.9246031746031744,1.4861686989796308,0.24078172874475576
FUT_2x_200DMA,COVID_2020,2020-02-01,2020-08-31,0.07269649893967034,-0.34620903065688946,0.5357142857142857,1.0417851683359125,0.34380571847308555
FUT_2x_200DMA,Inflation_2022_2024,2022-01-01,2024-07-31,0.062234582887383816,-0.33702062773533215,2.142857142857143,1.1676694835178072,0.20563915006051517
DIP_CONF_1p5_PROXY,Great_Depression_1929_1939,1929-08-01,1939-12-31,-0.02295709188945272,-0.8595599887550395,12.218253968253968,0.751071997564709,0.344879357925752
DIP_CONF_1p5_PROXY,Stagflation_1966_1982,1966-01-01,1982-12-31,0.08405425528723476,-0.5189042959486401,3.6984126984126986,3.9181899667023035,0.13825912119552114
DIP_CONF_1p5_PROXY,Crash_1987,1987-08-01,1989-07-31,0.07759575122755624,-0.33114245552627086,1.7182539682539681,1.161557020037818,0.22702245851086372
DIP_CONF_1p5_PROXY,Dotcom_2000_2007,2000-03-01,2007-06-30,0.017903590113498735,-0.557326710742752,6.865079365079365,1.1385772323639234,0.20683517888879802
DIP_CONF_1p5_PROXY,GFC_2007_2013,2007-10-01,2013-03-31,0.050301939549165064,-0.5456553593385385,3.257936507936508,1.3091040940043182,0.26272914124217495
DIP_CONF_1p5_PROXY,COVID_2020,2020-02-01,2020-08-31,0.3672590504755002,-0.34216280934892906,0.2976190476190476,1.200179775199829,0.4531997028738341
DIP_CONF_1p5_PROXY,Inflation_2022_2024,2022-01-01,2024-07-31,0.0778514078462964,-0.2544907238944222,1.9285714285714286,1.2122541138000211,0.20516543462183873
DIP_BLIND_2x_PROXY,Great_Depression_1929_1939,1929-08-01,1939-12-31,-0.11253886162199056,-0.9723159795058719,12.218253968253968,0.2295726226967385,0.4942292880625072
DIP_BLIND_2x_PROXY,Stagflation_1966_1982,1966-01-01,1982-12-31,0.05507657525958076,-0.6773550014751119,6.591269841269841,2.477306495813991,0.1793837514178744
DIP_BLIND_2x_PROXY,Crash_1987,1987-08-01,1989-07-31,0.059797104042697224,-0.45001490516242304,1.7738095238095237,1.1234287842498978,0.34250636711397625
DIP_BLIND_2x_PROXY,Dotcom_2000_2007,2000-03-01,2007-06-30,0.003333767115741182,-0.6403737031073793,6.7976190476190474,1.0246395870387595,0.2674213837940974
DIP_BLIND_2x_PROXY,GFC_2007_2013,2007-10-01,2013-03-31,0.013373035316988968,-0.7605932204798405,5.305555555555555,1.0756295122295092,0.4265147920401961
DIP_BLIND_2x_PROXY,COVID_2020,2020-02-01,2020-08-31,0.33225188890116675,-0.4409206808695634,0.29365079365079366,1.1821575703477025,0.6889331368783485
DIP_BLIND_2x_PROXY,Inflation_2022_2024,2022-01-01,2024-07-31,0.08269542087342141,-0.29982975640576315,1.5595238095238095,1.2262910424207836,0.266060145835372
