experiment_id,rebalance_date,signal_date,formation_date,model,top_n,eligible_rows,scored_rows,selected_rows,executed,nav_pre,nav_post_cost,gross_trade,turnover
bottleneck_momentum:20,2010-10-01,2010-09-30,2010-09-30,bottleneck_momentum,20,450,187,20,True,10000000.0,9985022.466300549,9985022.466300625,0.9985022466300625
bottleneck_momentum:20,2011-01-03,2010-12-31,2010-12-31,bottleneck_momentum,20,453,212,20,True,11396230.016897166,11378894.103769567,11557275.418400032,1.0141314628841367
bottleneck_momentum:20,2011-04-01,2011-03-31,2011-03-31,bottleneck_momentum,20,455,220,20,True,12009561.033322053,11989484.654481111,13384252.56062745,1.1144664258328127
bottleneck_momentum:20,2011-07-01,2011-06-30,2011-06-30,bottleneck_momentum,20,459,215,20,True,12283484.302928613,12260985.259498024,14999362.287059478,1.2210999678229204
bottleneck_momentum:20,2011-10-03,2011-09-30,2011-09-30,bottleneck_momentum,20,456,277,20,True,9536925.374212056,9514057.334549643,15245359.774941845,1.598561294834649
bottleneck_momentum:20,2012-01-03,2011-12-30,2011-12-31,bottleneck_momentum,20,459,287,20,True,10252556.345583593,10230881.31573995,14450019.895762142,1.4094065332288228
bottleneck_momentum:20,2012-04-02,2012-03-30,2012-03-31,bottleneck_momentum,20,462,291,20,True,11106028.68690368,11082657.979306892,15580471.731192356,1.4028841605249027
bottleneck_momentum:20,2012-07-02,2012-06-29,2012-06-30,bottleneck_momentum,20,464,290,20,True,10621549.684488278,10599221.276244367,14885605.495940374,1.4014532660595966
bottleneck_momentum:20,2012-10-01,2012-09-28,2012-09-30,bottleneck_momentum,20,466,291,20,True,11198737.285221593,11175099.387293117,15758598.618983995,1.4071763822676526
bottleneck_momentum:20,2013-01-02,2012-12-31,2012-12-31,bottleneck_momentum,20,471,286,20,True,11907864.131209938,11889679.711886879,12122946.215372732,1.018062188297822
bottleneck_momentum:20,2013-04-01,2013-03-28,2013-03-31,bottleneck_momentum,20,472,296,20,True,12711338.039329858,12691987.444825424,12900396.336289337,1.0148732018906679
bottleneck_momentum:20,2013-07-01,2013-06-28,2013-06-30,bottleneck_momentum,20,473,301,20,True,13034819.093252387,13005314.901804749,19669460.96509206,1.5089937822976127
bottleneck_momentum:20,2013-10-01,2013-09-30,2013-09-30,bottleneck_momentum,20,477,300,20,True,14399514.319909597,14369293.472346328,20147231.70884552,1.3991605036976003
bottleneck_momentum:20,2014-01-02,2013-12-31,2013-12-31,bottleneck_momentum,20,482,306,20,True,15144072.985202445,15105496.104814585,25717920.25857269,1.698216872284104
bottleneck_momentum:20,2014-04-01,2014-03-31,2014-03-31,bottleneck_momentum,20,484,307,20,True,16144501.650587063,16112894.663756384,21071324.553786695,1.3051703304214706
bottleneck_momentum:20,2014-07-01,2014-06-30,2014-06-30,bottleneck_momentum,20,484,302,20,True,17302401.947257422,17278774.462762475,15751656.329964817,0.9103739687692083
bottleneck_momentum:20,2014-10-01,2014-09-30,2014-09-30,bottleneck_momentum,20,485,250,20,True,16265985.91104858,16226952.540039616,26022247.33931008,1.5997952710406944
bottleneck_momentum:20,2015-01-02,2014-12-31,2014-12-31,bottleneck_momentum,20,485,250,20,True,16916053.630939923,16880338.695547465,23809956.928306527,1.407536145709391
bottleneck_momentum:20,2015-04-01,2015-03-31,2015-03-31,bottleneck_momentum,20,488,244,20,True,18105046.5305491,18077514.66948009,18354574.046009317,1.0137822079075678
bottleneck_momentum:20,2015-07-01,2015-06-30,2015-06-30,bottleneck_momentum,20,485,230,20,True,18473417.83771754,18439846.431145843,22380937.714464873,1.2115212198995073
bottleneck_momentum:20,2015-10-01,2015-09-30,2015-09-30,bottleneck_momentum,20,481,210,20,True,18055007.47046972,18027418.074554432,18392930.61019179,1.018716311265712
bottleneck_momentum:20,2016-01-04,2015-12-31,2015-12-31,bottleneck_momentum,20,481,208,20,True,18513877.267827127,18491364.119547013,15008765.520076936,0.8106765159429208
bottleneck_momentum:20,2016-04-01,2016-03-31,2016-03-31,bottleneck_momentum,20,483,212,20,True,18681040.0318099,18641703.441561174,26224393.499151602,1.4037972968580417
